SERVER_ARCH PARAM PARAM_VAL CLIENT_TIME QUERY_PROC_TIME CONNECT_PROC_TIME
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 500 1801 10153532 64698400
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 1000 1270 988966 22545153
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 1500 1827 1441964 35977699
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 2000 2038 2511726 39568428
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 2500 2453 3318753 43341289
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 3000 2889 4467693 47673077
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 3500 3153 5364505 50267139
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 4000 4272 6988653 69837522
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 4500 4665 8249067 59752342
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 5000 3306 9512208 52283589
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 5500 7776 12301450 124727603
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 6000 5422 13316839 89223142
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 6500 4973 13751052 65526577
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 7000 5413 15959522 73274265
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 7500 6179 18343198 88869494
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 8000 6387 19937966 95465653
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 8500 7185 22562768 106681949
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 9000 8111 23276520 121177068
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 9500 10509 28341453 125990591
TCP_ASYNCHRONOUS ELEMENTS_PER_REQ 10000 8420 30306919 129517035
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 10 1391 883366 50589124
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 20 1513 163402 55054409
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 30 1697 82148 59640112
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 40 2011 41065 68758300
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 50 2243 32466 74884242
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 60 3391 33384 95731393
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 70 2749 31072 88422447
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 80 2545 23993 81759192
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 90 3266 15284 99023157
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 100 4239 16309 125446672
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 110 5357 16269 143768116
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 120 6086 16320 163172829
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 130 6204 16286 166079636
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 140 5264 15555 149785736
TCP_ASYNCHRONOUS CLIENTS_PARALLEL 150 5821 16079 160697585
TCP_ASYNCHRONOUS TIME_DELTA 100 1314 31821 50354401
TCP_ASYNCHRONOUS TIME_DELTA 200 1491 30546 54133082
TCP_ASYNCHRONOUS TIME_DELTA 300 1425 30422 52129656
TCP_ASYNCHRONOUS TIME_DELTA 400 1418 30578 52149517
TCP_ASYNCHRONOUS TIME_DELTA 500 1402 30748 52109602
TCP_ASYNCHRONOUS TIME_DELTA 600 1341 30548 49811990
TCP_ASYNCHRONOUS TIME_DELTA 700 1358 31997 50975801
TCP_ASYNCHRONOUS TIME_DELTA 800 1407 30185 51938362
TCP_ASYNCHRONOUS TIME_DELTA 900 1322 29998 50094422
TCP_ASYNCHRONOUS TIME_DELTA 1000 1348 30378 51512532
TCP_ASYNCHRONOUS TIME_DELTA 1100 1625 29812 58447134
TCP_ASYNCHRONOUS TIME_DELTA 1200 2570 31098 72123759
TCP_ASYNCHRONOUS TIME_DELTA 1300 1416 29393 51838462
TCP_ASYNCHRONOUS TIME_DELTA 1400 1419 29923 52950565
TCP_ASYNCHRONOUS TIME_DELTA 1500 1444 31639 52706513
TCP_ASYNCHRONOUS TIME_DELTA 1600 1888 31030 62115230
TCP_ASYNCHRONOUS TIME_DELTA 1700 1675 32490 58347757
TCP_ASYNCHRONOUS TIME_DELTA 1800 1525 29915 54712122
TCP_ASYNCHRONOUS TIME_DELTA 1900 1296 31694 49828679
TCP_ASYNCHRONOUS TIME_DELTA 2000 1360 29974 51968403
