SERVER_ARCH PARAM PARAM_VAL CLIENT_TIME QUERY_PROC_TIME CONNECT_PROC_TIME
TCP_NON_BLOCKING ELEMENTS_PER_REQ 500 2080 210683 67844330
TCP_NON_BLOCKING ELEMENTS_PER_REQ 1000 1589 410419 28440433
TCP_NON_BLOCKING ELEMENTS_PER_REQ 1500 2097 883912 38560985
TCP_NON_BLOCKING ELEMENTS_PER_REQ 2000 2249 1451272 41348477
TCP_NON_BLOCKING ELEMENTS_PER_REQ 2500 2696 2218588 54764748
TCP_NON_BLOCKING ELEMENTS_PER_REQ 3000 3215 3200338 47717833
TCP_NON_BLOCKING ELEMENTS_PER_REQ 3500 2856 4098904 48502406
TCP_NON_BLOCKING ELEMENTS_PER_REQ 4000 4623 5128959 63824760
TCP_NON_BLOCKING ELEMENTS_PER_REQ 4500 4017 6764291 59496624
TCP_NON_BLOCKING ELEMENTS_PER_REQ 5000 4173 8042379 56965750
TCP_NON_BLOCKING ELEMENTS_PER_REQ 5500 4355 9888554 62674946
TCP_NON_BLOCKING ELEMENTS_PER_REQ 6000 6401 11725405 110020372
TCP_NON_BLOCKING ELEMENTS_PER_REQ 6500 5188 12541366 77317161
TCP_NON_BLOCKING ELEMENTS_PER_REQ 7000 5597 11902117 74351995
TCP_NON_BLOCKING ELEMENTS_PER_REQ 7500 7615 13068061 86537098
TCP_NON_BLOCKING ELEMENTS_PER_REQ 8000 6677 14770143 84408966
TCP_NON_BLOCKING ELEMENTS_PER_REQ 8500 7850 20219936 106899189
TCP_NON_BLOCKING ELEMENTS_PER_REQ 9000 9569 18292390 122585425
TCP_NON_BLOCKING ELEMENTS_PER_REQ 9500 7998 21188935 104613942
TCP_NON_BLOCKING ELEMENTS_PER_REQ 10000 10148 22125834 131263376
TCP_NON_BLOCKING CLIENTS_PARALLEL 10 1558 9221807 59401053
TCP_NON_BLOCKING CLIENTS_PARALLEL 20 1461 93533 53782758
TCP_NON_BLOCKING CLIENTS_PARALLEL 30 1690 36428 59055956
TCP_NON_BLOCKING CLIENTS_PARALLEL 40 1858 25294 62982010
TCP_NON_BLOCKING CLIENTS_PARALLEL 50 3643 26537 112379437
TCP_NON_BLOCKING CLIENTS_PARALLEL 60 2076 19357 68279430
TCP_NON_BLOCKING CLIENTS_PARALLEL 70 3382 23835 101332434
TCP_NON_BLOCKING CLIENTS_PARALLEL 80 2587 10998 80762043
TCP_NON_BLOCKING CLIENTS_PARALLEL 90 2804 16361 87408462
TCP_NON_BLOCKING CLIENTS_PARALLEL 100 3195 15370 96159550
TCP_NON_BLOCKING CLIENTS_PARALLEL 110 4059 8217 117540114
TCP_NON_BLOCKING CLIENTS_PARALLEL 120 4442 10743 126354994
TCP_NON_BLOCKING CLIENTS_PARALLEL 130 5362 11252 147206117
TCP_NON_BLOCKING CLIENTS_PARALLEL 140 4786 13849 137114181
TCP_NON_BLOCKING CLIENTS_PARALLEL 150 5582 23774 156033611
TCP_NON_BLOCKING TIME_DELTA 100 1627 15106 56472014
TCP_NON_BLOCKING TIME_DELTA 200 1363 35236 51484613
TCP_NON_BLOCKING TIME_DELTA 300 1408 15867 51983581
TCP_NON_BLOCKING TIME_DELTA 400 1430 33164 52327975
TCP_NON_BLOCKING TIME_DELTA 500 2072 26103 67869811
TCP_NON_BLOCKING TIME_DELTA 600 1446 15799 53101876
TCP_NON_BLOCKING TIME_DELTA 700 1366 15954 50489079
TCP_NON_BLOCKING TIME_DELTA 800 1338 23635 50709380
TCP_NON_BLOCKING TIME_DELTA 900 1466 16249 53605692
TCP_NON_BLOCKING TIME_DELTA 1000 1468 17386 52018800
TCP_NON_BLOCKING TIME_DELTA 1100 1335 29139 49980527
TCP_NON_BLOCKING TIME_DELTA 1200 1399 16291 51878771
TCP_NON_BLOCKING TIME_DELTA 1300 1815 17175 62646841
TCP_NON_BLOCKING TIME_DELTA 1400 1483 34336 53484676
TCP_NON_BLOCKING TIME_DELTA 1500 1223 13136 47580394
TCP_NON_BLOCKING TIME_DELTA 1600 1368 18313 51546393
TCP_NON_BLOCKING TIME_DELTA 1700 1314 22554 50545196
TCP_NON_BLOCKING TIME_DELTA 1800 1411 23716 53614076
TCP_NON_BLOCKING TIME_DELTA 1900 1395 23477 51786352
TCP_NON_BLOCKING TIME_DELTA 2000 1347 34724 50545470
