SERVER_ARCH PARAM PARAM_VAL CLIENT_TIME QUERY_PROC_TIME CONNECT_PROC_TIME
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 500 1647 200534 5029627
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 1000 2232 600430 6784409
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 1500 2985 1215169 8732979
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 2000 3202 1938920 9763104
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 2500 4105 2841497 10551290
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 3000 4952 3754641 11645626
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 3500 4528 4688360 13684507
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 4000 6019 6286133 18835399
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 4500 6108 7474144 17855989
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 5000 5531 8697632 16996420
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 5500 6090 9329007 17595194
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 6000 8150 11554789 24965506
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 6500 8076 13324393 26214519
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 7000 8061 14458402 24885393
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 7500 8200 15343651 24966074
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 8000 10308 17634842 31047277
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 8500 9992 18469564 30350616
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 9000 9116 19537262 28619935
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 9500 11259 21579150 33490097
TCP_SINGLE_THREAD ELEMENTS_PER_REQ 10000 10908 22670387 34230314
TCP_SINGLE_THREAD TIME_DELTA 100 1873 17111 5741017
TCP_SINGLE_THREAD TIME_DELTA 200 1596 16075 4634591
TCP_SINGLE_THREAD TIME_DELTA 300 1598 16445 4817076
TCP_SINGLE_THREAD TIME_DELTA 400 1668 16536 5074263
TCP_SINGLE_THREAD TIME_DELTA 500 1909 17104 5910250
TCP_SINGLE_THREAD TIME_DELTA 600 3955 15840 9788129
TCP_SINGLE_THREAD TIME_DELTA 700 3502 16690 8817223
TCP_SINGLE_THREAD TIME_DELTA 800 5295 15010 4805635
TCP_SINGLE_THREAD TIME_DELTA 900 1974 15619 6258786
TCP_SINGLE_THREAD TIME_DELTA 1000 1849 15599 5055632
TCP_SINGLE_THREAD TIME_DELTA 1100 1581 15359 4495450
TCP_SINGLE_THREAD TIME_DELTA 1200 1779 15361 5455759
TCP_SINGLE_THREAD TIME_DELTA 1300 1720 16762 5013658
TCP_SINGLE_THREAD TIME_DELTA 1400 1756 17124 5435710
TCP_SINGLE_THREAD TIME_DELTA 1500 1887 18013 5977687
TCP_SINGLE_THREAD TIME_DELTA 1600 1839 17532 5413734
TCP_SINGLE_THREAD TIME_DELTA 1700 2592 17333 6999849
TCP_SINGLE_THREAD TIME_DELTA 1800 2125 17086 5834403
TCP_SINGLE_THREAD TIME_DELTA 1900 2183 16007 5560833
TCP_SINGLE_THREAD TIME_DELTA 2000 3981 17781 12706023
