SERVER_ARCH PARAM PARAM_VAL CLIENT_TIME QUERY_PROC_TIME CONNECT_PROC_TIME
TCP_THREAD_POOLED ELEMENTS_PER_REQ 500 2489 276031 122932632
TCP_THREAD_POOLED ELEMENTS_PER_REQ 1000 1434 713986 74586045
TCP_THREAD_POOLED ELEMENTS_PER_REQ 1500 2156 1298117 112543612
TCP_THREAD_POOLED ELEMENTS_PER_REQ 2000 3169 2269173 183959284
TCP_THREAD_POOLED ELEMENTS_PER_REQ 2500 2613 3609014 162757774
TCP_THREAD_POOLED ELEMENTS_PER_REQ 3000 3745 4371881 207162271
TCP_THREAD_POOLED ELEMENTS_PER_REQ 3500 3287 5176868 177796833
TCP_THREAD_POOLED ELEMENTS_PER_REQ 4000 3696 8324775 191966178
TCP_THREAD_POOLED ELEMENTS_PER_REQ 4500 5071 9558265 262039501
TCP_THREAD_POOLED ELEMENTS_PER_REQ 5000 4422 9944383 227017874
TCP_THREAD_POOLED ELEMENTS_PER_REQ 5500 4879 11483178 247440998
TCP_THREAD_POOLED ELEMENTS_PER_REQ 6000 4528 12416177 235064815
TCP_THREAD_POOLED ELEMENTS_PER_REQ 6500 4690 14150489 240263775
TCP_THREAD_POOLED ELEMENTS_PER_REQ 7000 5674 17646530 284214686
TCP_THREAD_POOLED ELEMENTS_PER_REQ 7500 6010 18110829 307353024
TCP_THREAD_POOLED ELEMENTS_PER_REQ 8000 7437 20973647 374810324
TCP_THREAD_POOLED ELEMENTS_PER_REQ 8500 6596 22760222 334329736
TCP_THREAD_POOLED ELEMENTS_PER_REQ 9000 9301 24471386 470739546
TCP_THREAD_POOLED ELEMENTS_PER_REQ 9500 7927 30621182 393613709
TCP_THREAD_POOLED ELEMENTS_PER_REQ 10000 8702 31416045 430779597
TCP_THREAD_POOLED CLIENTS_PARALLEL 10 3047 16669 152458010
TCP_THREAD_POOLED CLIENTS_PARALLEL 20 4605 16217 237609729
TCP_THREAD_POOLED CLIENTS_PARALLEL 30 3045 14562 160561889
TCP_THREAD_POOLED CLIENTS_PARALLEL 40 7181 14792 390276613
TCP_THREAD_POOLED CLIENTS_PARALLEL 50 6293 13657 478197541
TCP_THREAD_POOLED CLIENTS_PARALLEL 60 5165 12652 293814261
TCP_THREAD_POOLED CLIENTS_PARALLEL 70 7283 13382 415724789
TCP_THREAD_POOLED CLIENTS_PARALLEL 80 5449 12698 309149293
TCP_THREAD_POOLED CLIENTS_PARALLEL 90 8435 13339 470101003
TCP_THREAD_POOLED CLIENTS_PARALLEL 100 8236 12864 447561335
TCP_THREAD_POOLED CLIENTS_PARALLEL 110 12994 13818 794752727
TCP_THREAD_POOLED CLIENTS_PARALLEL 120 5582 12877 326583978
TCP_THREAD_POOLED CLIENTS_PARALLEL 130 6176 12631 319307009
TCP_THREAD_POOLED CLIENTS_PARALLEL 140 7774 12515 412991842
TCP_THREAD_POOLED CLIENTS_PARALLEL 150 7441 13500 423345037
TCP_THREAD_POOLED TIME_DELTA 100 3502 22346 175407574
TCP_THREAD_POOLED TIME_DELTA 200 2381 24442 117885919
TCP_THREAD_POOLED TIME_DELTA 300 2159 22966 108430772
TCP_THREAD_POOLED TIME_DELTA 400 2790 23951 145362383
TCP_THREAD_POOLED TIME_DELTA 500 2535 23569 127043501
TCP_THREAD_POOLED TIME_DELTA 600 2434 22998 120381217
TCP_THREAD_POOLED TIME_DELTA 700 2524 23136 127904937
TCP_THREAD_POOLED TIME_DELTA 800 3259 23393 171435368
TCP_THREAD_POOLED TIME_DELTA 900 3107 23017 160252455
TCP_THREAD_POOLED TIME_DELTA 1000 2401 23088 121497496
TCP_THREAD_POOLED TIME_DELTA 1100 2259 23023 114187931
TCP_THREAD_POOLED TIME_DELTA 1200 4188 24879 208080009
TCP_THREAD_POOLED TIME_DELTA 1300 3843 23612 198247023
TCP_THREAD_POOLED TIME_DELTA 1400 3180 13481 148928964
TCP_THREAD_POOLED TIME_DELTA 1500 3453 23881 183405048
TCP_THREAD_POOLED TIME_DELTA 1600 2359 24361 120360993
TCP_THREAD_POOLED TIME_DELTA 1700 2290 21322 120041985
TCP_THREAD_POOLED TIME_DELTA 1800 2208 24834 112049628
TCP_THREAD_POOLED TIME_DELTA 1900 2381 23873 119490927
TCP_THREAD_POOLED TIME_DELTA 2000 2211 22784 112038888
