SERVER_ARCH PARAM PARAM_VAL CLIENT_TIME QUERY_PROC_TIME CONNECT_PROC_TIME
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 500 469 216238 1723675
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 1000 1147 631979 4163995
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 1500 991 1073438 5811403
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 2000 1300 1761741 5188938
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 2500 1423 2386110 5304009
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 3000 2101 3375481 7897433
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 3500 1873 3942802 6863754
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 4000 2767 4753822 9902785
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 4500 2554 5583756 8970794
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 5000 3092 6896026 11098412
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 5500 3303 7610491 11637906
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 6000 3502 8771870 12629886
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 6500 3382 9050058 12015325
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 7000 3585 9217548 12643142
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 7500 4035 11111164 14162000
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 8000 5028 12845513 18055513
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 8500 4735 13350480 16630055
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 9000 5137 15669636 20780398
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 9500 1437 20099508 248458617
UDP_SINGLE_THREAD ELEMENTS_PER_REQ 10000 1017 21309871 275580875
UDP_SINGLE_THREAD CLIENTS_PARALLEL 10 832 16358 4428645
UDP_SINGLE_THREAD CLIENTS_PARALLEL 20 999 13408 2825068
UDP_SINGLE_THREAD CLIENTS_PARALLEL 30 1341 9348 2499576
UDP_SINGLE_THREAD CLIENTS_PARALLEL 40 1439 8294 2059669
UDP_SINGLE_THREAD CLIENTS_PARALLEL 50 1258 8050 1437133
UDP_SINGLE_THREAD CLIENTS_PARALLEL 60 2207 8925 1957063
UDP_SINGLE_THREAD CLIENTS_PARALLEL 70 1587 8510 1219110
UDP_SINGLE_THREAD CLIENTS_PARALLEL 80 1368 7647 1209959
UDP_SINGLE_THREAD CLIENTS_PARALLEL 90 2196 8469 1299021
UDP_SINGLE_THREAD CLIENTS_PARALLEL 100 2089 8464 1193192
UDP_SINGLE_THREAD CLIENTS_PARALLEL 110 3908 8707 2011783
UDP_SINGLE_THREAD CLIENTS_PARALLEL 120 4062 8400 1776341
UDP_SINGLE_THREAD CLIENTS_PARALLEL 130 2974 7890 1245529
UDP_SINGLE_THREAD CLIENTS_PARALLEL 140 2399 7933 1073184
UDP_SINGLE_THREAD CLIENTS_PARALLEL 150 3264 8153 1323738
UDP_SINGLE_THREAD TIME_DELTA 100 1277 22193 4634549
UDP_SINGLE_THREAD TIME_DELTA 200 1045 16280 3937649
UDP_SINGLE_THREAD TIME_DELTA 300 690 18326 2676460
UDP_SINGLE_THREAD TIME_DELTA 400 699 18506 2693286
UDP_SINGLE_THREAD TIME_DELTA 500 746 19400 2895992
UDP_SINGLE_THREAD TIME_DELTA 600 701 18232 2663171
UDP_SINGLE_THREAD TIME_DELTA 700 804 19384 3034141
UDP_SINGLE_THREAD TIME_DELTA 800 722 19158 2827786
UDP_SINGLE_THREAD TIME_DELTA 900 842 14836 3198045
UDP_SINGLE_THREAD TIME_DELTA 1000 1686 16635 6259142
UDP_SINGLE_THREAD TIME_DELTA 1100 1372 15432 4998534
UDP_SINGLE_THREAD TIME_DELTA 1200 1050 15844 4096054
UDP_SINGLE_THREAD TIME_DELTA 1300 958 15530 3729036
UDP_SINGLE_THREAD TIME_DELTA 1400 1185 16862 4352234
UDP_SINGLE_THREAD TIME_DELTA 1500 1478 16354 5554660
UDP_SINGLE_THREAD TIME_DELTA 1600 1764 17332 6596834
UDP_SINGLE_THREAD TIME_DELTA 1700 1884 16958 7055211
UDP_SINGLE_THREAD TIME_DELTA 1800 2233 16311 8210050
UDP_SINGLE_THREAD TIME_DELTA 1900 1588 16225 5976737
UDP_SINGLE_THREAD TIME_DELTA 2000 878 14531 3574059
