SERVER_ARCH PARAM PARAM_VAL CLIENT_TIME QUERY_PROC_TIME CONNECT_PROC_TIME
UDP_THREADPOOLED ELEMENTS_PER_REQ 1000 2661 19956584 905568193
UDP_THREADPOOLED ELEMENTS_PER_REQ 1500 1518 7315862 3429566423
UDP_THREADPOOLED ELEMENTS_PER_REQ 2000 2092 6878778 5231266180
UDP_THREADPOOLED ELEMENTS_PER_REQ 2500 1847 6764449 7486360171
UDP_THREADPOOLED ELEMENTS_PER_REQ 3000 2892 8365291 10089705798
UDP_THREADPOOLED ELEMENTS_PER_REQ 3500 4870 6993376 44413246058
UDP_THREADPOOLED ELEMENTS_PER_REQ 4000 5018 9256622 73720772364
UDP_THREADPOOLED ELEMENTS_PER_REQ 4500 4168 9730735 78495502805
UDP_THREADPOOLED ELEMENTS_PER_REQ 5000 3952 9289480 79906031976
UDP_THREADPOOLED ELEMENTS_PER_REQ 5500 3788 9733820 84084045174
UDP_THREADPOOLED ELEMENTS_PER_REQ 6000 4305 13773487 88471646894
UDP_THREADPOOLED ELEMENTS_PER_REQ 6500 3861 12635712 92751684751
UDP_THREADPOOLED ELEMENTS_PER_REQ 7000 4331 15231832 97286147756
UDP_THREADPOOLED ELEMENTS_PER_REQ 7500 3794 16561086 101606066823
UDP_THREADPOOLED ELEMENTS_PER_REQ 8000 3658 20639006 106084578694
UDP_THREADPOOLED ELEMENTS_PER_REQ 8500 3930 27202019 111124754573
UDP_THREADPOOLED ELEMENTS_PER_REQ 9000 5084 27734289 142699808553
UDP_THREADPOOLED ELEMENTS_PER_REQ 9500 4243 31499598 148073689899
UDP_THREADPOOLED ELEMENTS_PER_REQ 10000 3751 30255055 178440213979
UDP_THREADPOOLED CLIENTS_PARALLEL 10 2635 29481348 1467519248
UDP_THREADPOOLED CLIENTS_PARALLEL 20 1849 1595534 3790166238
UDP_THREADPOOLED CLIENTS_PARALLEL 30 1323 581715 5432562001
UDP_THREADPOOLED CLIENTS_PARALLEL 40 1819 22334 7103959554
UDP_THREADPOOLED CLIENTS_PARALLEL 50 1279 84678 8946867603
UDP_THREADPOOLED CLIENTS_PARALLEL 60 986 52807 9442189435
UDP_THREADPOOLED CLIENTS_PARALLEL 70 2453 23711 9601773964
UDP_THREADPOOLED CLIENTS_PARALLEL 80 1247 6910 12755239069
UDP_THREADPOOLED CLIENTS_PARALLEL 90 1499 5677 14537594373
UDP_THREADPOOLED CLIENTS_PARALLEL 100 1967 7218 16865542377
UDP_THREADPOOLED TIME_DELTA 100 3179 1666109 2451330339
UDP_THREADPOOLED TIME_DELTA 200 1148 1488448 34597815997
UDP_THREADPOOLED TIME_DELTA 300 905 856731 35549040803
UDP_THREADPOOLED TIME_DELTA 400 700 414568 36664756843
UDP_THREADPOOLED TIME_DELTA 500 876 23099 37701200617
UDP_THREADPOOLED TIME_DELTA 600 536 274934 38429525709
UDP_THREADPOOLED TIME_DELTA 700 587 238536 39045444359
UDP_THREADPOOLED TIME_DELTA 800 570 282450 39721012642
UDP_THREADPOOLED TIME_DELTA 900 522 281166 40315098320
UDP_THREADPOOLED TIME_DELTA 1000 481 213549 40790305492
UDP_THREADPOOLED TIME_DELTA 1100 336 24103 40313555109
UDP_THREADPOOLED TIME_DELTA 1200 397 44550 40736753154
UDP_THREADPOOLED TIME_DELTA 1300 640 37903 41438273323
UDP_THREADPOOLED TIME_DELTA 1400 487 42360 42117363031
UDP_THREADPOOLED TIME_DELTA 1500 495 43022 42699439889
UDP_THREADPOOLED TIME_DELTA 1600 439 36622 43349543520
UDP_THREADPOOLED TIME_DELTA 1700 456 52276 43928245923
UDP_THREADPOOLED TIME_DELTA 1800 669 27112 44740745315
UDP_THREADPOOLED TIME_DELTA 1900 336 26648 45258254729
UDP_THREADPOOLED TIME_DELTA 2000 628 16337 45844584663
